IdBundesland,Bundesland,Landkreis,Altersgruppe,Geschlecht,AnzahlFall,AnzahlTodesfall,ObjectId,Meldedatum,IdLandkreis,Datenstand,NeuerFall,NeuerTodesfall
2,Hamburg,SK Hamburg,A05-A14,M,3,0,738228,2020-03-16T00:00:00.000Z,02000,"05.04.2020, 00:00 Uhr",0,-9
2,Hamburg,SK Hamburg,A05-A14,M,2,0,738229,2020-03-17T00:00:00.000Z,02000,"05.04.2020, 00:00 Uhr",0,-9
2,Hamburg,SK Hamburg,A05-A14,M,1,0,738230,2020-03-18T00:00:00.000Z,02000,"05.04.2020, 00:00 Uhr",0,-9
2,Hamburg,SK Hamburg,A05-A14,M,6,0,738231,2020-03-19T00:00:00.000Z,02000,"05.04.2020, 00:00 Uhr",0,-9
2,Hamburg,SK Hamburg,A05-A14,M,3,0,738232,2020-03-20T00:00:00.000Z,02000,"05.04.2020, 00:00 Uhr",0,-9
2,Hamburg,SK Hamburg,A05-A14,M,3,0,738233,2020-03-22T00:00:00.000Z,02000,"05.04.2020, 00:00 Uhr",0,-9
2,Hamburg,SK Hamburg,A05-A14,M,5,0,738234,2020-03-23T00:00:00.000Z,02000,"05.04.2020, 00:00 Uhr",0,-9
2,Hamburg,SK Hamburg,A05-A14,M,6,0,738235,2020-03-24T00:00:00.000Z,02000,"05.04.2020, 00:00 Uhr",0,-9
2,Hamburg,SK Hamburg,A05-A14,M,3,0,738236,2020-03-25T00:00:00.000Z,02000,"05.04.2020, 00:00 Uhr",0,-9
2,Hamburg,SK Hamburg,A05-A14,M,5,0,738237,2020-03-26T00:00:00.000Z,02000,"05.04.2020, 00:00 Uhr",0,-9
2,Hamburg,SK Hamburg,A05-A14,M,1,0,738238,2020-03-27T00:00:00.000Z,02000,"05.04.2020, 00:00 Uhr",0,-9
2,Hamburg,SK Hamburg,A05-A14,M,1,0,738239,2020-03-28T00:00:00.000Z,02000,"05.04.2020, 00:00 Uhr",0,-9
2,Hamburg,SK Hamburg,A05-A14,M,2,0,738240,2020-03-29T00:00:00.000Z,02000,"05.04.2020, 00:00 Uhr",0,-9
2,Hamburg,SK Hamburg,A05-A14,M,4,0,738241,2020-03-31T00:00:00.000Z,02000,"05.04.2020, 00:00 Uhr",0,-9
2,Hamburg,SK Hamburg,A05-A14,M,1,0,738242,2020-04-01T00:00:00.000Z,02000,"05.04.2020, 00:00 Uhr",0,-9
2,Hamburg,SK Hamburg,A05-A14,M,1,0,738243,2020-04-02T00:00:00.000Z,02000,"05.04.2020, 00:00 Uhr",1,-9
2,Hamburg,SK Hamburg,A05-A14,M,3,0,738244,2020-04-03T00:00:00.000Z,02000,"05.04.2020, 00:00 Uhr",1,-9
2,Hamburg,SK Hamburg,A05-A14,unbekannt,1,0,738245,2020-03-30T00:00:00.000Z,02000,"05.04.2020, 00:00 Uhr",0,-9
2,Hamburg,SK Hamburg,A05-A14,W,1,0,738246,2020-03-11T00:00:00.000Z,02000,"05.04.2020, 00:00 Uhr",0,-9
2,Hamburg,SK Hamburg,A05-A14,W,1,0,738247,2020-03-14T00:00:00.000Z,02000,"05.04.2020, 00:00 Uhr",0,-9
2,Hamburg,SK Hamburg,A05-A14,W,2,0,738248,2020-03-15T00:00:00.000Z,02000,"05.04.2020, 00:00 Uhr",0,-9
2,Hamburg,SK Hamburg,A05-A14,W,4,0,738249,2020-03-16T00:00:00.000Z,02000,"05.04.2020, 00:00 Uhr",0,-9
2,Hamburg,SK Hamburg,A05-A14,W,3,0,738250,2020-03-17T00:00:00.000Z,02000,"05.04.2020, 00:00 Uhr",0,-9
2,Hamburg,SK Hamburg,A05-A14,W,1,0,738251,2020-03-18T00:00:00.000Z,02000,"05.04.2020, 00:00 Uhr",0,-9
2,Hamburg,SK Hamburg,A05-A14,W,1,0,738252,2020-03-20T00:00:00.000Z,02000,"05.04.2020, 00:00 Uhr",0,-9
2,Hamburg,SK Hamburg,A05-A14,W,1,0,738253,2020-03-22T00:00:00.000Z,02000,"05.04.2020, 00:00 Uhr",0,-9
