"Datum","Gemeldete Fälle","Hospitalisierungen","Verstorben"
"28.02.2020","1","1","0"
"29.02.2020","1","0","0"
"01.03.2020","0","0","0"
"02.03.2020","2","0","0"
"03.03.2020","1","1","0"
"04.03.2020","0","0","0"
"05.03.2020","1","0","0"
"06.03.2020","2","1","0"
"07.03.2020","0","0","0"
"08.03.2020","1","0","0"
"09.03.2020","3","0","0"
"10.03.2020","7","0","0"
"11.03.2020","19","1","0"
"12.03.2020","18","2","1"
"13.03.2020","27","2","0"
"14.03.2020","24","1","0"
"15.03.2020","20","0","0"
"16.03.2020","29","2","0"
"17.03.2020","45","6","0"
"18.03.2020","53","8","4"
"19.03.2020","60","2","0"
"20.03.2020","79","13","1"
"21.03.2020","48","6","3"
"22.03.2020","34","9","3"
"23.03.2020","93","16","2"
"24.03.2020","101","15","3"
"25.03.2020","88","13","4"
"26.03.2020","96","23","2"
"27.03.2020","115","18","2"
"28.03.2020","84","13","1"
"29.03.2020","43","13","1"
"30.03.2020","77","20","3"
"31.03.2020","106","23","3"
"01.04.2020","109","18","5"
"02.04.2020","109","18","4"
"03.04.2020","115","13","3"
"04.04.2020","67","10","0"
"05.04.2020","33","4","0"
"06.04.2020","61","14","1"
"07.04.2020","103","14","4"
"08.04.2020","87","14","1"
"09.04.2020","93","11","3"
"10.04.2020","33","4","0"
"11.04.2020","41","7","2"
"12.04.2020","16","3","0"
"13.04.2020","97","2","0"
"14.04.2020","18","1","1"
"15.04.2020","40","7","2"
"16.04.2020","49","5","0"

"Datenstand 16.04.2020 20:30:24"
